 ID,PARAM,dateTime,GdeBaleine-3,SYM
99XXX,1,2025/02/27,173.4,
99XXX,1,2025/02/28,172.3,
99XXX,1,2025/03/01,170.2,
99XXX,1,2025/03/02,168.1,
99XXX,1,2025/03/03,166.6,
99XXX,1,2025/03/04,164.9,
99XXX,1,2025/03/05,163.5,
99XXX,1,2025/03/06,162.4,
99XXX,1,2025/03/07,161,
99XXX,1,2025/03/08,159.8,
99XXX,1,2025/03/09,158.5,
99XXX,1,2025/03/10,157.5,
99XXX,1,2025/03/11,156.3,
99XXX,1,2025/03/12,154.9,
99XXX,1,2025/03/13,154.1,
99XXX,1,2025/03/14,153,
99XXX,1,2025/03/15,152,
99XXX,1,2025/03/16,150.9,
99XXX,1,2025/03/17,149.9,
99XXX,1,2025/03/18,149.2,
99XXX,1,2025/03/19,148.3,
99XXX,1,2025/03/20,148.3,
99XXX,1,2025/03/21,146.6,
99XXX,1,2025/03/22,146.4,
99XXX,1,2025/03/23,145.7,
99XXX,1,2025/03/24,144.6,
99XXX,1,2025/03/25,143.8,
99XXX,1,2025/03/26,142.9,
99XXX,1,2025/03/27,142,
99XXX,1,2025/03/28,140.2,
99XXX,1,2025/03/29,139.5,
99XXX,1,2025/03/30,138.5,
99XXX,1,2025/03/31,137.7,
99XXX,1,2025/04/01,137,
99XXX,1,2025/04/02,136.8,
99XXX,1,2025/04/03,136.1,
99XXX,1,2025/04/04,135.7,
99XXX,1,2025/04/05,135.3,
99XXX,1,2025/04/06,135,
99XXX,1,2025/04/07,134.8,
99XXX,1,2025/04/08,134.4,
99XXX,1,2025/04/09,133.8,
99XXX,1,2025/04/10,133.4,
99XXX,1,2025/04/11,133.2,
99XXX,1,2025/04/12,132.5,
99XXX,1,2025/04/13,132.2,
99XXX,1,2025/04/14,131.7,
99XXX,1,2025/04/15,131.4,
99XXX,1,2025/04/16,131.6,
99XXX,1,2025/04/17,132,
99XXX,1,2025/04/18,133.8,
99XXX,1,2025/04/19,136.5,
99XXX,1,2025/04/20,139.2,
99XXX,1,2025/04/21,142.4,
99XXX,1,2025/04/22,145.8,
99XXX,1,2025/04/23,153.2,
99XXX,1,2025/04/24,159.9,
99XXX,1,2025/04/25,169.1,
99XXX,1,2025/04/26,177,
99XXX,1,2025/04/27,184.8,
99XXX,1,2025/04/28,194,
99XXX,1,2025/04/29,207.7,
99XXX,1,2025/04/30,225.7,
99XXX,1,2025/05/01,242.6,
99XXX,1,2025/05/02,267.1,
99XXX,1,2025/05/03,286.1,
99XXX,1,2025/05/04,312.5,
99XXX,1,2025/05/05,335.6,
99XXX,1,2025/05/06,357.2,
99XXX,1,2025/05/07,380.3,
99XXX,1,2025/05/08,414.4,
99XXX,1,2025/05/09,430.1,
99XXX,1,2025/05/10,440.9,
99XXX,1,2025/05/11,466.4,
99XXX,1,2025/05/12,512.6,
99XXX,1,2025/05/13,536.5,
99XXX,1,2025/05/14,573.9,
99XXX,1,2025/05/15,628.7,
99XXX,1,2025/05/16,686.7,
99XXX,1,2025/05/17,726.1,
99XXX,1,2025/05/18,772.9,
99XXX,1,2025/05/19,825.3,
99XXX,1,2025/05/20,874.7,
99XXX,1,2025/05/21,909.5,
99XXX,1,2025/05/22,934.3,
99XXX,1,2025/05/23,952.5,
99XXX,1,2025/05/24,968.3,
99XXX,1,2025/05/25,973.9,
99XXX,1,2025/05/26,973.1,
99XXX,1,2025/05/27,970.9,
99XXX,1,2025/05/28,972.1,
99XXX,1,2025/05/29,973,
99XXX,1,2025/05/30,971.8,
99XXX,1,2025/05/31,970.9,
99XXX,1,2025/06/01,983.4,
99XXX,1,2025/06/02,990.7,
99XXX,1,2025/06/03,997.3,
99XXX,1,2025/06/04,1006.1,
99XXX,1,2025/06/05,1009.1,
99XXX,1,2025/06/06,1012.9,
99XXX,1,2025/06/07,1018.4,
99XXX,1,2025/06/08,1022.7,
99XXX,1,2025/06/09,1027.6,
99XXX,1,2025/06/10,1026.5,
99XXX,1,2025/06/11,1021.4,
99XXX,1,2025/06/12,1019.1,
99XXX,1,2025/06/13,1017.6,
99XXX,1,2025/06/14,1014.6,
99XXX,1,2025/06/15,1010.1,
99XXX,1,2025/06/16,1007.6,
99XXX,1,2025/06/17,1005.7,
99XXX,1,2025/06/18,1004.6,
99XXX,1,2025/06/19,1003,
99XXX,1,2025/06/20,1003.4,
99XXX,1,2025/06/21,997.7,
99XXX,1,2025/06/22,990.6,
99XXX,1,2025/06/23,983.2,
99XXX,1,2025/06/24,976.4,
99XXX,1,2025/06/25,968.2,
99XXX,1,2025/06/26,960.1,
99XXX,1,2025/06/27,953.4,
99XXX,1,2025/06/28,947.4,
99XXX,1,2025/06/29,941.1,
99XXX,1,2025/06/30,928.9,
99XXX,1,2025/07/01,920.2,
99XXX,1,2025/07/02,910.3,
99XXX,1,2025/07/03,902.3,
99XXX,1,2025/07/04,889.8,
99XXX,1,2025/07/05,877,
99XXX,1,2025/07/06,863.9,
99XXX,1,2025/07/07,850.7,
99XXX,1,2025/07/08,837.1,
99XXX,1,2025/07/09,827.8,
99XXX,1,2025/07/10,817.2,
99XXX,1,2025/07/11,806,
99XXX,1,2025/07/12,794.4,
99XXX,1,2025/07/13,786.9,
99XXX,1,2025/07/14,778.7,
99XXX,1,2025/07/15,770.8,
99XXX,1,2025/07/16,760.7,
99XXX,1,2025/07/17,752.2,
99XXX,1,2025/07/18,744.7,
99XXX,1,2025/07/19,737.8,
99XXX,1,2025/07/20,733.6,
99XXX,1,2025/07/21,727.2,
99XXX,1,2025/07/22,720.9,
99XXX,1,2025/07/23,714.5,
99XXX,1,2025/07/24,706.7,
99XXX,1,2025/07/25,700.4,
99XXX,1,2025/07/26,694.3,
99XXX,1,2025/07/27,690.3,
99XXX,1,2025/07/28,684.8,
99XXX,1,2025/07/29,679.6,
99XXX,1,2025/07/30,673.3,
99XXX,1,2025/07/31,657,
99XXX,1,2025/08/01,651.1,
99XXX,1,2025/08/02,647.4,
99XXX,1,2025/08/03,644.9,
99XXX,1,2025/08/04,643.4,
99XXX,1,2025/08/05,639.8,
99XXX,1,2025/08/06,635.2,
99XXX,1,2025/08/07,631.8,
99XXX,1,2025/08/08,628.9,
99XXX,1,2025/08/09,626.4,
99XXX,1,2025/08/10,621.3,
99XXX,1,2025/08/11,617.1,
99XXX,1,2025/08/12,614.1,
99XXX,1,2025/08/13,612.2,
99XXX,1,2025/08/14,608.7,
99XXX,1,2025/08/15,606.9,
99XXX,1,2025/08/16,606,
99XXX,1,2025/08/17,611.1,
99XXX,1,2025/08/18,615.8,
99XXX,1,2025/08/19,613.6,
99XXX,1,2025/08/20,612.3,
99XXX,1,2025/08/21,612.4,
99XXX,1,2025/08/22,609.8,
99XXX,1,2025/08/23,606.7,
99XXX,1,2025/08/24,604.1,
99XXX,1,2025/08/25,602.6,
99XXX,1,2025/08/26,599.7,
99XXX,1,2025/08/27,596.3,
99XXX,1,2025/08/28,596.3,
99XXX,1,2025/08/29,595.3,
99XXX,1,2025/08/30,593.1,
99XXX,1,2025/08/31,590.7,
99XXX,1,2025/09/01,589.7,
99XXX,1,2025/09/02,589.8,
99XXX,1,2025/09/03,591.6,
99XXX,1,2025/09/04,592.3,
99XXX,1,2025/09/05,593.2,
99XXX,1,2025/09/06,594.6,
99XXX,1,2025/09/07,595.5,
99XXX,1,2025/09/08,597.8,
99XXX,1,2025/09/09,604.5,
99XXX,1,2025/09/10,612.8,
99XXX,1,2025/09/11,617.2,
99XXX,1,2025/09/12,621.6,
99XXX,1,2025/09/13,626.5,
99XXX,1,2025/09/14,627.7,
99XXX,1,2025/09/15,631.6,
99XXX,1,2025/09/16,634.5,
99XXX,1,2025/09/17,638.4,
99XXX,1,2025/09/18,641.8,
99XXX,1,2025/09/19,646.3,
99XXX,1,2025/09/20,650,
99XXX,1,2025/09/21,652.1,
99XXX,1,2025/09/22,654.3,
99XXX,1,2025/09/23,658.2,
99XXX,1,2025/09/24,662.7,
99XXX,1,2025/09/25,662.9,
99XXX,1,2025/09/26,662.3,
99XXX,1,2025/09/27,663,
99XXX,1,2025/09/28,667.6,
99XXX,1,2025/09/29,670.6,
99XXX,1,2025/09/30,670,
99XXX,1,2025/10/01,671.7,
99XXX,1,2025/10/02,671.1,
99XXX,1,2025/10/03,672.1,
99XXX,1,2025/10/04,676.2,
99XXX,1,2025/10/05,678.9,
99XXX,1,2025/10/06,679.9,
99XXX,1,2025/10/07,681.9,
99XXX,1,2025/10/08,688.2,
99XXX,1,2025/10/09,694,
99XXX,1,2025/10/10,699.6,
99XXX,1,2025/10/11,702.9,
99XXX,1,2025/10/12,705.4,
99XXX,1,2025/10/13,706.1,
99XXX,1,2025/10/14,706.9,
99XXX,1,2025/10/15,710.4,
99XXX,1,2025/10/16,715.9,
99XXX,1,2025/10/17,716.4,
99XXX,1,2025/10/18,716.5,
99XXX,1,2025/10/19,714.5,
99XXX,1,2025/10/20,714.9,
99XXX,1,2025/10/21,716.1,
99XXX,1,2025/10/22,713.9,
99XXX,1,2025/10/23,710.7,
99XXX,1,2025/10/24,707.2,
99XXX,1,2025/10/25,705,
99XXX,1,2025/10/26,700.5,
99XXX,1,2025/10/27,693.7,
99XXX,1,2025/10/28,688.6,
99XXX,1,2025/10/29,682.5,
99XXX,1,2025/10/30,677.6,
99XXX,1,2025/10/31,677.2,
99XXX,1,2025/11/01,675.8,
99XXX,1,2025/11/02,670.3,
99XXX,1,2025/11/03,673,
99XXX,1,2025/11/04,670.6,
99XXX,1,2025/11/05,665.4,
99XXX,1,2025/11/06,661.7,
99XXX,1,2025/11/07,658,
99XXX,1,2025/11/08,654.1,
99XXX,1,2025/11/09,648.9,
99XXX,1,2025/11/10,643,
99XXX,1,2025/11/11,631.8,
99XXX,1,2025/11/12,624.3,
99XXX,1,2025/11/13,618.3,
99XXX,1,2025/11/14,616.7,
99XXX,1,2025/11/15,612.3,
99XXX,1,2025/11/16,598.6,
99XXX,1,2025/11/17,592.1,
99XXX,1,2025/11/18,587.5,
99XXX,1,2025/11/19,583.9,
99XXX,1,2025/11/20,579.9,
99XXX,1,2025/11/21,576.8,
99XXX,1,2025/11/22,570.1,
99XXX,1,2025/11/23,563.2,
99XXX,1,2025/11/24,557.5,
99XXX,1,2025/11/25,552.3,
99XXX,1,2025/11/26,542,
99XXX,1,2025/11/27,533.5,
99XXX,1,2025/11/28,524.4,
99XXX,1,2025/11/29,517.5,
99XXX,1,2025/11/30,511.1,
99XXX,1,2025/12/01,505.3,
99XXX,1,2025/12/02,499.3,
99XXX,1,2025/12/03,492.6,
99XXX,1,2025/12/04,487.4,
99XXX,1,2025/12/05,481.4,
99XXX,1,2025/12/06,474.9,
99XXX,1,2025/12/07,467.1,
99XXX,1,2025/12/08,460.7,
99XXX,1,2025/12/09,454.6,
99XXX,1,2025/12/10,446.9,
99XXX,1,2025/12/11,440.4,
99XXX,1,2025/12/12,434.8,
99XXX,1,2025/12/13,428.9,
99XXX,1,2025/12/14,423.2,
99XXX,1,2025/12/15,417.1,
99XXX,1,2025/12/16,410.8,
99XXX,1,2025/12/17,405.6,
99XXX,1,2025/12/18,399.8,
99XXX,1,2025/12/19,394.4,
99XXX,1,2025/12/20,389.5,
99XXX,1,2025/12/21,384.6,
99XXX,1,2025/12/22,379.4,
99XXX,1,2025/12/23,375,
99XXX,1,2025/12/24,369,
99XXX,1,2025/12/25,365,
99XXX,1,2025/12/26,359.8,
99XXX,1,2025/12/27,353.9,
99XXX,1,2025/12/28,348.4,
99XXX,1,2025/12/29,343.1,
99XXX,1,2025/12/30,338,
99XXX,1,2025/12/31,333.1,
